"first_name","last_name","sex"
"Hercules","Baer","M"
"Hercules","Biron","F"
"Hercules","Birge","F"
"Hercules","Berstel","F"
"Hercules","Bernatsky","M"
"Hercules","Bodoff","M"
"Hercules","Benantar","F"
"Hercules","Bisiani","F"
"Hercules","Brendel","F"
"Hercules","Buchter","M"
"Hercules","Baak","M"
"Hercules","Bail","F"
"Hercules","Basagni","M"
"Hercules","Bernardinello","F"
"Hercules","Baranowski","M"
"Hercules","Benzmuller","M"
"Hercules","Bahr","M"
"Hercules","Biran","F"
"Hercules","Bain","F"
"Hercules","Barreiro","M"
